Molecule,TanimotoA,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 34,0.162775616,C=CC(=O)NCCN1CCCS1(=O)=O,C8H14N2O3S,218.27,14,0,0.62,5,4,1,56.76,74.86,1.47,-0.45,0.02,-0.88,-0.07,0.02,-0.58,5.74E+01,2.63E-01,Very soluble,-0.66,4.82E+01,2.21E-01,Very soluble,-1.24,1.27E+01,5.82E-02,Soluble,High,No,No,No,No,No,No,No,-7.95,0,0,0,0,0,0.55,0,1,1,2.58
Molecule 35,0.30969697,C=CC(=O)Nc1ccc(nc1)S(=O)(=O)N1CCOCC1,C12H15N3O4S,297.33,20,6,0.33,5,6,1,76.18,96.98,1.63,-0.27,0.74,-1.01,0.13,0.24,-1.41,1.17E+01,3.93E-02,Very soluble,-1.31,1.46E+01,4.92E-02,Very soluble,-2.57,7.95E-01,2.67E-03,Soluble,High,No,No,No,No,No,No,No,-8.31,0,0,0,0,0,0.55,0,1,0,2.85
Molecule 36,0.232073012,C=CC(=O)Nc1ccc(cc1Cl)CNC(=O)C,C12H13ClN2O2,252.7,17,6,0.17,6,2,2,67.68,58.2,2.24,1.43,1.76,1.77,2.39,1.92,-2.17,1.70E+00,6.72E-03,Soluble,-2.26,1.40E+00,5.53E-03,Soluble,-4.26,1.40E-02,5.53E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.83,0,0,0,0,0,0.55,0,1,0,1.78
Molecule 37,0.212588311,C=CC(=O)Nc1ccc(cc1)n1ccccc1=O,C14H12N2O2,240.26,18,12,0,4,2,1,70.68,51.1,2.16,1.71,1.77,1.81,1.99,1.89,-2.64,5.55E-01,2.31E-03,Soluble,-2.4,9.59E-01,3.99E-03,Soluble,-4.08,2.01E-02,8.38E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.55,0,0,0,0,0,0.55,0,1,1,1.92
Molecule 38,0.338305489,C=CC(=O)Nc1ccc2c(c1)nc(o2)c1cccnc1,C15H11N3O2,265.27,20,15,0,4,4,1,75.89,68.02,2.16,2.12,2.82,1.29,2.79,2.24,-3.11,2.05E-01,7.74E-04,Soluble,-3.18,1.75E-01,6.61E-04,Soluble,-5.51,8.25E-04,3.11E-06,Moderately soluble,High,Yes,No,Yes,Yes,No,Yes,No,-6.41,0,0,0,0,0,0.55,0,1,0,2.8
Molecule 39,0.26056338,C=CC(=O)Nc1ccc(c(c1)C)N1CCOCC1=O,C14H16N2O3,260.29,19,6,0.29,4,3,1,75.98,58.64,2.11,1.07,0.91,0.81,2.01,1.38,-2.1,2.08E+00,7.99E-03,Soluble,-1.89,3.33E+00,1.28E-02,Very soluble,-3.31,1.28E-01,4.91E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-7.13,0,0,0,0,0,0.55,0,1,0,2.1
Molecule 40,0.164598302,CCOC(=O)c1ccc(cc1)NC(=O)C=C,C12H13NO3,219.24,16,6,0.17,6,3,1,61.17,55.4,2.41,1.72,1.8,1.9,2.04,1.97,-2.16,1.50E+00,6.85E-03,Soluble,-2.5,6.94E-01,3.17E-03,Soluble,-3.33,1.02E-01,4.66E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.42,0,0,0,0,0,0.55,0,1,1,1.64
Molecule 41,0.202457956,C=CC(=O)Nc1ccc(cc1)n1cnnn1,C10H9N5O,215.21,16,11,0,4,4,1,57.8,72.7,1.6,0.86,0.6,1.2,0.32,0.91,-1.96,2.36E+00,1.09E-02,Very soluble,-1.97,2.30E+00,1.07E-02,Very soluble,-2.64,4.98E-01,2.31E-03,Soluble,High,No,No,Yes,No,No,No,No,-7,0,0,0,0,0,0.55,0,1,1,1.86
Molecule 42,0.161716172,COC(=O)Cc1ccc(cc1)NC(=O)C=C,C12H13NO3,219.24,16,6,0.17,6,3,1,60.95,55.4,2.09,1.48,1.34,1.63,2.04,1.72,-2.01,2.13E+00,9.70E-03,Soluble,-2.25,1.23E+00,5.62E-03,Soluble,-3.33,1.02E-01,4.66E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.59,0,0,0,0,0,0.55,0,1,1,1.64
Molecule 43,0.175753688,COc1cc(ccc1OC)CNS(=O)(=O)C=C,C11H15NO4S,257.31,17,6,0.27,6,5,1,65.3,73.01,1.92,0.89,2.2,0.38,1.13,1.3,-1.86,3.54E+00,1.38E-02,Very soluble,-2.01,2.53E+00,9.82E-03,Soluble,-3.48,8.42E-02,3.27E-04,Soluble,High,Yes,No,No,No,No,No,No,-7.24,0,0,0,0,0,0.55,0,0,0,2.28
Molecule 44,0.140431091,C=CS(=O)(=O)NCC(=O)N1CCOCC1,C8H14N2O4S,234.27,15,0,0.62,5,5,1,57.84,84.09,0.93,-1.03,-0.39,-1.69,-0.59,-0.55,-0.31,1.14E+02,4.86E-01,Very soluble,-0.25,1.32E+02,5.65E-01,Very soluble,-0.85,3.31E+01,1.41E-01,Soluble,High,No,No,No,No,No,No,No,-8.46,0,0,0,0,0,0.55,0,0,1,2.68
Molecule 45,0.292773317,C=CS(=O)(=O)NC1CCOc2c1cccc2,C11H13NO3S,239.29,16,6,0.27,3,4,1,61.5,63.78,1.49,1.45,2.33,0.55,1.1,1.38,-2.32,1.15E+00,4.82E-03,Soluble,-2.4,9.63E-01,4.02E-03,Soluble,-3.17,1.63E-01,6.81E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.73,0,0,0,0,0,0.55,0,0,1,2.9
Molecule 46,0.143778208,C=CS(=O)(=O)NCCN1CCCS1(=O)=O,C7H14N2O4S2,254.33,15,0,0.71,5,6,1,60.72,100.31,0.47,-0.76,0.87,-1.71,-1.02,-0.43,-0.61,6.27E+01,2.47E-01,Very soluble,-0.87,3.44E+01,1.35E-01,Very soluble,-1.21,1.57E+01,6.18E-02,Soluble,High,No,No,No,No,No,No,No,-8.39,0,0,0,0,0,0.55,0,0,0,3
Molecule 47,0.165374677,COC(=O)Cc1ccc(cc1)NS(=O)(=O)C=C,C11H13NO4S,255.29,17,6,0.18,6,4,1,64.91,80.85,1.69,1.17,2.18,0.85,1,1.38,-2.03,2.41E+00,9.44E-03,Soluble,-2.46,8.79E-01,3.44E-03,Soluble,-3.31,1.26E-01,4.94E-04,Soluble,High,No,No,No,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,0,0,2.11
Molecule 48,0.166235446,C#CC(=O)NCc1ccc(c(c1)OC)OC,C12H13NO3,219.24,16,6,0.25,5,3,1,59.98,47.56,2.42,1.09,0.88,1.17,2.01,1.51,-1.83,3.22E+00,1.47E-02,Very soluble,-1.68,4.57E+00,2.08E-02,Very soluble,-3.15,1.56E-01,7.11E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.86,0,0,0,0,0,0.55,0,1,1,1.69
Molecule 49,0.117374005,C#CC(=O)NCC(=O)N1CCOCC1,C9H12N2O3,196.2,14,0,0.56,4,3,1,52.52,58.64,1.75,-0.26,-1.71,-0.88,0.24,-0.17,-0.63,4.61E+01,2.35E-01,Very soluble,-0.51,6.02E+01,3.07E-01,Very soluble,-0.51,6.11E+01,3.11E-01,Soluble,High,No,No,No,No,No,No,No,-7.68,0,1,0,0,1,0.55,0,1,1,2.24
Molecule 50,0.144554455,C#CC(=O)NCc1nc(C)cc(n1)C,C10H11N3O,189.21,14,6,0.3,3,3,1,52.51,54.88,2.24,0.63,0.27,0.08,1.82,1.01,-1.53,5.59E+00,2.96E-02,Very soluble,-1.36,8.31E+00,4.39E-02,Very soluble,-2.92,2.29E-01,1.21E-03,Soluble,High,No,No,No,No,No,No,No,-7.01,0,0,0,0,1,0.55,0,1,1,2.02
Molecule 51,0.335770871,CN(S(=O)(=O)C)c1ncccc1CNC(=O)C#C,C11H13N3O3S,267.3,18,6,0.27,5,4,1,67.96,87.75,1.75,-0.07,0.74,-0.76,-0.06,0.32,-1.37,1.14E+01,4.27E-02,Very soluble,-1.32,1.28E+01,4.77E-02,Very soluble,-2.55,7.52E-01,2.81E-03,Soluble,High,No,No,No,No,No,No,No,-7.98,0,0,0,0,0,0.55,0,1,0,2.44
Molecule 52,0.212820513,C#CC(=O)Nc1ccc(cc1)n1ccccc1=O,C14H10N2O2,238.24,18,12,0,3,2,1,69.32,51.1,2.23,1.6,1.3,1.81,1.82,1.75,-2.62,5.71E-01,2.40E-03,Soluble,-2.28,1.24E+00,5.19E-03,Soluble,-3.71,4.60E-02,1.93E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.62,0,0,0,0,0,0.55,0,1,1,1.94
Molecule 53,0.25909381,C#CC(=O)Nc1ccc(c(c1)C)N1CCOCC1=O,C14H14N2O3,258.27,19,6,0.29,3,3,1,74.62,58.64,2.24,0.96,0.44,0.81,1.85,1.26,-2.08,2.14E+00,8.28E-03,Soluble,-1.78,4.30E+00,1.66E-02,Very soluble,-2.95,2.92E-01,1.13E-03,Soluble,High,No,No,No,No,No,No,No,-7.19,0,0,0,0,0,0.55,0,1,0,2.13
Molecule 54,0.164820847,CCOC(=O)c1ccc(cc1)NC(=O)C#C,C12H11NO3,217.22,16,6,0.17,5,3,1,59.81,55.4,2.39,1.61,1.32,1.9,1.88,1.82,-2.15,1.54E+00,7.10E-03,Soluble,-2.39,8.95E-01,4.12E-03,Soluble,-2.97,2.33E-01,1.07E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,1,1.67
Molecule 55,0.201420271,C#CC(=O)Nc1ccc(cc1)n1cnnn1,C10H7N5O,213.2,16,11,0,3,4,1,56.44,72.7,1.68,0.75,0.12,1.2,0.15,0.78,-1.95,2.42E+00,1.13E-02,Very soluble,-1.86,2.97E+00,1.39E-02,Very soluble,-2.27,1.14E+00,5.35E-03,Soluble,High,No,No,Yes,No,No,No,No,-7.07,0,0,0,0,0,0.55,0,1,1,1.89
Molecule 56,0.313953488,C#CC(=O)Nc1ccc(cc1)n1nncc1c1ccccc1,C17H12N4O,288.3,22,17,0,4,3,1,84.08,59.81,2.78,2.66,2.39,2.43,2.26,2.5,-3.61,7.06E-02,2.45E-04,Soluble,-3.57,7.80E-02,2.71E-04,Soluble,-5.15,2.05E-03,7.10E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-6.17,0,0,0,0,0,0.55,0,1,0,2.54
Molecule 57,0.159973667,COC(=O)Cc1ccc(cc1)NC(=O)C#C,C12H11NO3,217.22,16,6,0.17,5,3,1,59.59,55.4,2.16,1.37,0.86,1.63,1.88,1.58,-2,2.19E+00,1.01E-02,Very soluble,-2.14,1.59E+00,7.31E-03,Soluble,-2.97,2.33E-01,1.07E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.65,0,0,0,0,0,0.55,0,1,1,1.68
Molecule 58,0.158647594,CC#CC(=O)Nc1ccc(cc1)S(=O)(=O)N,C10H10N2O3S,238.26,16,6,0.1,3,4,2,59.53,97.64,0.99,0.95,1.27,0.42,-0.08,0.71,-2,2.41E+00,1.01E-02,Very soluble,-2.59,6.16E-01,2.59E-03,Soluble,-2.44,8.63E-01,3.62E-03,Soluble,High,No,No,No,No,No,No,No,-7.08,0,0,0,0,0,0.55,0,1,1,2.17
Molecule 59,0.166230366,CC#CC(=O)Nc1ccc(cc1)CC(=O)OC,C13H13NO3,231.25,17,6,0.23,5,3,1,64.4,55.4,2.09,1.88,1.25,1.9,2.12,1.85,-2.39,9.44E-01,4.08E-03,Soluble,-2.67,5.00E-01,2.16E-03,Soluble,-3.36,1.02E-01,4.41E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.38,0,0,0,0,0,0.55,0,1,1,2.07
Molecule 60,0.160340314,O=C(COC(=O)C)NCC1CCN(CC1)C(=O)N(C)C,C13H23N3O4,285.34,20,0,0.77,8,4,1,77.07,78.95,2.67,-0.28,-0.32,0.28,-0.19,0.43,-0.9,3.55E+01,1.25E-01,Very soluble,-0.92,3.44E+01,1.21E-01,Very soluble,-1.32,1.38E+01,4.83E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.24,0,0,0,0,0,0.55,0,0,1,2.3
Molecule 61,0.153088042,CC(NC(=O)C(=O)NCC1CCN(CC1)C(=O)N(C)C)C,C14H26N4O3,298.38,21,0,0.79,8,3,2,83.6,81.75,3.15,0.3,-0.36,0.14,-0.28,0.59,-1.35,1.33E+01,4.46E-02,Very soluble,-1.58,7.86E+00,2.63E-02,Very soluble,-1.65,6.63E+00,2.22E-02,Soluble,High,No,Yes,No,No,No,No,No,-7.91,0,0,0,0,0,0.55,0,1,1,2.38
Molecule 62,0.140501319,CN(C(=O)N1CCC(CC1)CNC(=O)C(=O)N)C,C11H20N4O3,256.3,18,0,0.73,6,3,2,69.08,95.74,1.84,-0.9,-1.4,-0.68,-1.35,-0.5,-0.47,8.76E+01,3.42E-01,Very soluble,-0.63,6.04E+01,2.36E-01,Very soluble,-0.43,9.46E+01,3.69E-01,Soluble,High,No,No,No,No,No,No,No,-8.5,0,1,0,0,0,0.55,0,1,0,2.02
Molecule 63,0.238643634,O=C(COC(=O)C)NCCCc1cc2c(o1)cccc2,C15H17NO4,275.3,20,9,0.33,8,4,1,74.31,68.54,2.59,2.21,2.04,1.12,2.84,2.16,-2.74,4.96E-01,1.80E-03,Soluble,-3.28,1.43E-01,5.20E-04,Soluble,-4.98,2.87E-03,1.04E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.41,0,0,0,0,0,0.55,0,0,1,2.48
Molecule 64,0.22829582,CNC(=O)C(=O)NCCCc1cc2c(o1)cccc2,C14H16N2O3,260.29,19,9,0.29,7,3,2,71.22,71.34,2.55,2,1.23,0.46,2.13,1.67,-2.6,6.50E-01,2.50E-03,Soluble,-3.12,1.95E-01,7.50E-04,Soluble,-4.89,3.34E-03,1.28E-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-6.47,0,0,0,0,0,0.55,0,1,0,2.38
Molecule 65,0.237277354,C=CCN1C2CCC1CC(C2)n1cccn1,C13H19N3,217.31,16,5,0.62,3,2,0,68.86,21.06,2.56,1.99,1.86,1.9,1.32,1.92,-2.47,7.29E-01,3.36E-03,Soluble,-2.06,1.90E+00,8.74E-03,Soluble,-1.85,3.06E+00,1.41E-02,Soluble,High,Yes,No,No,No,No,Yes,No,-6.21,0,0,0,0,0,0.55,0,1,1,3.78
Molecule 66,0.305732484,COC1CCN(C1)c1ncccc1C#N,C11H13N3O,203.24,15,6,0.45,2,3,0,59.49,49.15,2.03,1.08,0.8,0.32,1.32,1.11,-1.94,2.31E+00,1.14E-02,Very soluble,-1.7,4.02E+00,1.98E-02,Very soluble,-2.46,7.06E-01,3.48E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.77,0,0,0,0,0,0.55,0,0,1,2.54
Molecule 67,0.286900958,N#Cc1nccnc1N1CC2C(C1)CCC2,C12H14N4,214.27,16,6,0.58,1,3,0,63.7,52.81,2.13,1.61,1.2,0.6,1.51,1.41,-2.39,8.64E-01,4.03E-03,Soluble,-2.33,1.00E+00,4.67E-03,Soluble,-2.56,5.90E-01,2.75E-03,Soluble,High,Yes,No,No,Yes,No,No,No,-6.46,0,0,0,0,0,0.55,0,0,1,3.18
Molecule 68,0.19365285,N#Cc1ccnc(c1)NC1CCOCC1,C11H13N3O,203.24,15,6,0.45,2,3,1,56.46,57.94,1.94,1.29,1.35,0.32,1.67,1.31,-2.08,1.70E+00,8.38E-03,Soluble,-2.11,1.59E+00,7.82E-03,Soluble,-3.07,1.75E-01,8.59E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.62,0,0,0,0,0,0.55,0,0,1,2
Molecule 69,0.098065377,C=CCNC(=O)NC1CCOCC1,C9H16N2O2,184.24,13,0,0.67,5,2,2,50.07,50.36,1.96,0.42,0.65,0.45,0.78,0.85,-0.92,2.23E+01,1.21E-01,Very soluble,-1.04,1.66E+01,9.02E-02,Very soluble,-1.68,3.83E+00,2.08E-02,Soluble,High,Yes,No,No,No,No,No,No,-7.13,0,0,0,0,1,0.55,0,1,1,2.13
Molecule 70,0.20273794,C=CCNC(=O)N1C2CCC1CC(C2)O,C11H18N2O2,210.27,15,0,0.73,4,2,2,61.65,52.57,2.17,0.69,0.49,1.05,0.32,0.94,-1.31,1.02E+01,4.85E-02,Very soluble,-1.37,8.95E+00,4.25E-02,Very soluble,-0.75,3.77E+01,1.79E-01,Soluble,High,No,No,No,No,No,No,No,-7.09,0,0,0,0,0,0.55,0,1,1,3.85
Molecule 71,0.267676768,N#Cc1cnc(c(c1)Cl)N1CCOCC1,C10H10ClN3O,223.66,15,6,0.4,1,3,0,59.69,49.15,2.04,1.28,1.06,0.58,2.01,1.4,-2.26,1.22E+00,5.46E-03,Soluble,-1.91,2.74E+00,1.23E-02,Very soluble,-2.92,2.69E-01,1.20E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.76,0,0,0,0,0,0.55,0,0,1,2.27
Molecule 72,0.090365449,C=CCNC(=O)N1CCOCC1,C8H14N2O2,170.21,12,0,0.62,4,2,1,49.27,41.57,2.04,-0.18,-0.17,0.13,0.49,0.46,-0.52,5.17E+01,3.03E-01,Very soluble,-0.24,9.85E+01,5.79E-01,Very soluble,-0.91,2.08E+01,1.22E-01,Soluble,High,No,No,No,No,No,No,No,-7.47,0,0,0,0,1,0.55,0,1,1,2.19
Molecule 73,0.088650101,C=CCNC(=O)N1CCCC1,C8H14N2O,154.21,11,0,0.62,4,1,1,48.18,32.34,2.2,0.68,0.6,0.99,0.79,1.05,-0.96,1.69E+01,1.10E-01,Very soluble,-0.94,1.79E+01,1.16E-01,Very soluble,-1.16,1.06E+01,6.90E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.76,0,1,0,0,1,0.55,0,1,1,1.82
Molecule 74,0.227476038,C=CCN1CCc2c(C1)ccs2,C10H13NS,179.28,12,5,0.4,2,1,0,57.7,31.48,2.5,2.15,1.76,2.05,3.62,2.42,-2.48,5.90E-01,3.29E-03,Soluble,-2.44,6.46E-01,3.60E-03,Soluble,-2.68,3.73E-01,2.08E-03,Soluble,High,Yes,No,No,No,No,No,No,-5.87,0,0,0,0,1,0.55,0,1,1,2.45
Molecule 75,0.109993293,C=CCNC(=O)NC1CCN(CC1)C,C10H19N3O,197.28,14,0,0.7,5,2,2,60.6,44.37,2.09,0.6,0.18,0.76,0.38,0.8,-1.11,1.53E+01,7.74E-02,Very soluble,-1.11,1.55E+01,7.84E-02,Very soluble,-1.67,4.23E+00,2.14E-02,Soluble,High,No,No,No,No,No,No,No,-7.08,0,0,0,0,1,0.55,0,1,1,2.18
Molecule 76,0.315059861,N#Cc1cnc(c(c1)Cl)N1CCNC(=O)C1,C10H9ClN4O,236.66,16,6,0.3,1,3,1,65.52,69.02,1.39,0.77,-0.22,0.07,1.37,0.68,-2,2.35E+00,9.91E-03,Soluble,-1.8,3.75E+00,1.59E-02,Very soluble,-3.12,1.80E-01,7.59E-04,Soluble,High,No,No,Yes,No,No,No,No,-7.2,0,0,0,0,0,0.55,0,0,1,2.31
Molecule 77,0.21414791,N#Cc1ccc(nc1)NCC1CCCO1.Cl,C11H14ClN3O,239.7,16,6,0.45,3,3,1,63.42,57.94,0,2.1,2.16,0.6,1.77,1.32,-2.73,4.48E-01,1.87E-03,Soluble,-2.95,2.71E-01,1.13E-03,Soluble,-3.19,1.54E-01,6.43E-04,Soluble,High,Yes,Yes,No,No,No,No,No,-6.27,0,0,0,0,0,0.55,0,0,1,2.66
Molecule 78,0.257518797,Cn1cccc(c1=O)C(=O)NCC=C,C10H12N2O2,192.21,14,6,0.2,4,2,1,54.1,51.1,1.64,1.07,0.3,0.67,1.13,0.96,-1.76,3.35E+00,1.74E-02,Very soluble,-1.73,3.54E+00,1.84E-02,Very soluble,-2.35,8.63E-01,4.49E-03,Soluble,High,No,No,No,No,No,No,No,-6.71,0,0,0,0,1,0.55,0,1,1,1.85
Molecule 79,0.239850094,Cn1nc(ccc1=O)C(=O)NCC=C,C9H11N3O2,193.2,14,6,0.22,4,3,1,51.9,63.99,1.64,-0.19,-0.3,0.35,0.62,0.42,-0.97,2.06E+01,1.07E-01,Very soluble,-0.7,3.87E+01,2.01E-01,Very soluble,-1.98,2.04E+00,1.06E-02,Soluble,High,No,No,No,No,No,No,No,-7.61,0,0,0,0,1,0.55,0,1,1,1.94
Molecule 80,0.23797306,C=CCNC(=O)c1ccc2c(n1)cccc2,C13H12N2O,212.25,16,10,0.08,4,2,1,63.88,41.99,2.56,2.86,2.15,1.7,2.68,2.39,-3.16,1.48E-01,6.98E-04,Soluble,-3.4,8.43E-02,3.97E-04,Soluble,-4.56,5.86E-03,2.76E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.56,0,0,0,0,0,0.55,0,1,1,1.69
Molecule 81,0.090421969,C=CCNC(=O)C1CCCC1,C9H15NO,153.22,11,0,0.67,4,1,1,45.79,29.1,2.25,1.72,1.48,1.37,1.86,1.73,-1.61,3.76E+00,2.46E-02,Very soluble,-1.95,1.73E+00,1.13E-02,Very soluble,-1.87,2.06E+00,1.34E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.01,0,1,0,0,1,0.55,0,1,1,1.51
Molecule 82,0.140408701,C=CCNC(=O)c1ccco1,C8H9NO2,151.16,11,5,0.12,4,2,1,40.84,42.24,2.13,0.96,1.2,0.21,1.42,1.18,-1.45,5.31E+00,3.51E-02,Very soluble,-1.43,5.56E+00,3.68E-02,Very soluble,-2.44,5.44E-01,3.60E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.54,0,1,0,0,1,0.55,0,1,1,2.02
Molecule 83,0.134691196,C=CCNC(=O)c1cccs1,C8H9NOS,167.23,11,5,0.12,4,1,1,46.46,57.34,2.02,1.48,1.66,1.09,2.67,1.79,-1.88,2.20E+00,1.31E-02,Very soluble,-2.29,8.55E-01,5.12E-03,Soluble,-2.51,5.17E-01,3.09E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.27,0,0,0,0,1,0.55,0,1,1,1.93
Molecule 84,0.255506608,C=CCNC(=O)c1c[nH]c2c1cccc2,C12H12N2O,200.24,15,9,0.08,4,1,2,60.43,44.89,1.95,2.38,2.08,1.47,2.73,2.12,-2.76,3.47E-01,1.73E-03,Soluble,-2.96,2.18E-01,1.09E-03,Soluble,-4.14,1.45E-02,7.26E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.83,0,0,0,0,0,0.55,0,1,1,1.61
Molecule 85,0.226982097,C=CCNC(=O)C1COc2c(O1)cccc2,C12H13NO3,219.24,16,6,0.25,4,3,1,59.07,47.56,2.21,1.79,1.13,0.78,1.92,1.57,-2.34,1.00E+00,4.57E-03,Soluble,-2.41,8.58E-01,3.91E-03,Soluble,-3.06,1.92E-01,8.77E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.37,0,0,0,0,0,0.55,0,1,1,2.83
Molecule 86,0.150296638,C=CCNC(=O)c1cccnc1,C9H10N2O,162.19,12,6,0.11,4,2,1,46.37,41.99,1.55,0.64,1,0.49,1.52,1.04,-1.35,7.17E+00,4.42E-02,Very soluble,-1.1,1.30E+01,8.00E-02,Very soluble,-2.87,2.21E-01,1.36E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.83,0,0,0,0,1,0.55,0,1,1,1.4
Molecule 87,0.166776533,C=CCNC(=O)c1ccccn1,C9H10N2O,162.19,12,6,0.11,4,2,1,46.37,41.99,2.11,0.56,1,0.49,1.52,1.14,-1.3,8.05E+00,4.96E-02,Very soluble,-1.01,1.57E+01,9.68E-02,Very soluble,-2.87,2.21E-01,1.36E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.89,0,0,0,0,1,0.55,0,1,1,1.52
Molecule 88,0.125657895,C=CCNC(=O)c1cscc1,C8H9NOS,167.23,11,5,0.12,4,1,1,46.46,57.34,2.02,1.45,1.66,1.09,2.67,1.78,-1.86,2.29E+00,1.37E-02,Very soluble,-2.26,9.19E-01,5.50E-03,Soluble,-2.51,5.17E-01,3.09E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.29,0,0,0,0,1,0.55,0,1,1,2.1
Molecule 89,0.246679317,C=CCNC(=O)c1c(C)noc1C,C9H12N2O2,180.2,13,5,0.33,4,3,1,48.57,55.13,2.31,1.09,1.21,0.49,1.89,1.4,-1.66,3.90E+00,2.16E-02,Very soluble,-1.84,2.60E+00,1.45E-02,Very soluble,-2.86,2.47E-01,1.37E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.63,0,0,0,0,1,0.55,0,1,1,2.69
Molecule 90,0.121887287,C=CCNC(=O)c1cocc1,C8H9NO2,151.16,11,5,0.12,4,2,1,40.84,42.24,1.94,0.98,1.2,0.21,1.42,1.15,-1.47,5.16E+00,3.41E-02,Very soluble,-1.46,5.30E+00,3.51E-02,Very soluble,-2.44,5.44E-01,3.60E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.53,0,1,0,0,1,0.55,0,1,1,2.36
Molecule 91,0.101932045,C=CCNC(=O)C1CCOCC1,C9H15NO2,169.22,12,0,0.67,4,2,1,46.88,38.33,2.02,0.49,0.72,0.49,1.55,1.05,-0.93,1.97E+01,1.16E-01,Very soluble,-0.86,2.31E+01,1.37E-01,Very soluble,-1.62,4.03E+00,2.38E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.98,0,0,0,0,1,0.55,0,1,1,1.74
Molecule 92,0.116831683,C=CCNC(=O)C1COCC1,C8H13NO2,155.19,11,0,0.62,4,2,1,42.07,38.33,1.98,0.14,0.33,0.17,1.27,0.78,-0.63,3.67E+01,2.36E-01,Very soluble,-0.5,4.89E+01,3.15E-01,Very soluble,-1.33,7.18E+00,4.62E-02,Soluble,High,No,No,No,No,No,No,No,-7.15,0,1,0,0,1,0.55,0,1,1,2.28
Molecule 93,0.267957527,C=CCNC(=O)C1CCc2c(O1)cccc2,C13H15NO2,217.26,16,6,0.31,4,2,1,62.35,38.33,2.42,2.29,1.68,1.63,2.54,2.11,-2.64,4.94E-01,2.27E-03,Soluble,-2.73,4.02E-01,1.85E-03,Soluble,-3.6,5.51E-02,2.54E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6,0,0,0,0,0,0.55,0,1,1,2.65
Molecule 94,0.190045249,C=CCNC(=O)c1cncc(c1)F,C9H9FN2O,180.18,13,6,0.11,4,3,1,46.33,41.99,1.75,0.87,1.56,0.91,1.96,1.41,-1.58,4.71E+00,2.61E-02,Very soluble,-1.34,8.32E+00,4.62E-02,Very soluble,-3.15,1.26E-01,7.01E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.78,0,0,0,0,1,0.55,0,1,1,1.68
